"PopularityScore","Weight"
79.5540390542394,50.05
79.6913499560515,49.16
79.0002222130859,49.57
78.4884784137928,49.69
76.6067699091446,49.45
82.0293525239563,51.6
79.1151897751871,49.64
74.2277198917708,49.99
78.8075799982687,50.04
78.7508178520844,48.01
82.1288293580317,50.66
79.9669202950259,50.14
77.440578738739,50.14
78.6793906259089,48.36
74.9426541316047,49.06
84.7701572684448,50.92
78.7116495023029,48.16
82.0077861322481,49.19
78.1072837436235,48.43
74.9019213818097,49.11
82.1842724600323,50.43
79.82554754114,50.13
78.0611616888676,51.5
74.8789684786603,49.51
86.0834703493807,50.46
80.4726859768291,49.56
83.634324669667,50.78
80.8261700149995,50.05
81.6685194303329,49.55
82.8779647254199,47.9
81.2138870340039,51.75
82.0151860111007,50.98
79.3766336643254,48.82
77.8337425290704,51.93
81.5698087918191,50.21
80.9500638560166,51.46
81.8589612781065,50.9
80.821939141173,51.31
79.685803345138,49.89
78.7587601467078,49.47
78.553073310003,50.06
79.3220239228907,47.93
75.1828582320074,51.16
75.9528731734772,48.22
80.8296502771261,49.7
78.1918611924904,51.05
78.1230475308466,48.53
81.063422996516,50.38
78.9365827897697,49.57
81.6368708840311,48.65
79.2921876610567,50.55
81.8131315729974,52.03
77.2253984919898,50.26
81.3893910948459,49.89
79.3864644184735,51.07
78.5024225282703,50
78.4400212729418,49.67
81.0038264371086,49.71
79.6736883461284,51.68
81.0955279814894,51.38
81.0245939215497,49.51
80.8311217379572,49.88
79.6228085092838,49.41
82.4876049723339,50.18
78.85634085664,49.75
79.473096709171,51.02
76.4963170922551,49.95
81.3020816221592,47.61
84.7246378496585,49.08
84.8261650221403,50.05
81.3817965089583,49.86
79.8992013316853,49.91
80.5565675818089,51.32
79.6600145742899,48.14
79.0783417977588,51.16
81.8379372311497,49.71
81.3283158981538,50.62
83.9706227402424,50.57
77.8032597957852,49.1
80.2921708314611,49.41
78.4961648890413,50.52
78.8432212928781,50.83
82.9208911468819,51.75
80.7752339368735,48.9
81.1359473671052,49.7
81.2645004720437,51.08
81.7604033042787,48.79
81.6775514364743,51.23
81.0024432100081,50.65
79.2215892323552,49.33
76.891048283136,49.53
80.1271005680213,50.08
82.1267739861652,49.43
77.7895003179284,49.36
80.3419100611889,49.7
77.5352155371067,50.52
80.1573890577358,50.53
81.5310451574838,50.45
79.8781113971402,50.4
83.0449988978175,51.55
