"","Size","Distance"
"1",16.469028389547,16.7270705094163
"2",13.9422575826757,16.0574216921993
"3",16.185018143151,17.266231006447
"4",14.7689113556407,15.1908047551152
"5",11.3609718554653,13.0631122934659
"6",10.6738438620232,11.6591860395157
"7",11.2915261695161,12.1603661508926
"8",13.9311792957596,15.8471705788392
"9",10.0258269859478,14.4534525977144
"10",16.2020595418289,16.7295601460473
"11",17.6441401755437,17.6415257931757
"12",17.4383575795218,16.9212520185813
"13",18.2616569520906,17.8591745843008
"14",14.2272908333689,14.3988049795986
"15",14.0928766480647,15.3122020257887
"16",15.3969261352904,16.6863494292032
"17",19.6072239847854,18.2199971916414
"18",16.5355733432807,16.2738973281392
"19",15.4671529866755,15.1009711141247
"20",12.6606356608681,12.6823679356127
"21",11.9679559930228,13.6306439077531
"22",10.7787092053331,12.1743851468492
"23",18.1839332845993,17.7509328629797
"24",19.4240464107133,19.2568766099291
"25",18.8422447931953,18.6783649905722
"26",11.658783799503,12.9723587431169
"27",13.5510133812204,15.0870688879337
"28",17.4809501715936,16.5629050673171
"29",14.5095051126555,15.6327038194484
"30",15.5587543756701,16.0098812905706
"31",19.6407308755443,18.8697378957782
"32",10.7146894000471,12.3142357856946
"33",19.5580906514078,17.3623922673584
"34",19.4797859061509,18.0689271834189
"35",10.0118775176816,12.5871481952926
"36",13.6727927741595,16.4799921733301
"37",10.1104039908387,12.3280398362593
"38",19.3385805585422,16.9386913324704
"39",15.2324655745178,18.864357649296
"40",12.2198676154949,14.5091427063105
"41",19.8516114731319,19.2647726472346
"42",12.2532988479361,14.5002282610588
"43",18.6393763008527,17.8420420648866
"44",18.8468324090354,18.285749386872
"45",16.2484108656645,16.5421497861983
"46",15.7155331713147,16.7967123452081
"47",14.7084434470162,16.9419160201223
"48",17.006673081778,15.1877468408943
"49",17.9793522087857,17.2672034402057
"50",11.6574609302916,12.2560826792172
